label,gpu_label,gpu,nvidia_driver,cuda_version,torch_version,transformers_version,precision,epoch,train_loss,train_runtime,train_samples,train_samples_per_second,train_steps_per_second,eval_accuracy,eval_loss,eval_runtime,eval_samples,eval_samples_per_second,eval_steps_per_second,perplexity
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1311,735.10,2318,9.46,1.184,0.4265,3.0506,9.95,240,24.113,3.014,21.1276
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1311,732.94,2318,9.488,1.187,0.4265,3.0506,9.76,240,24.582,3.073,21.1276
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1311,732.30,2318,9.496,1.188,0.4265,3.0506,9.77,240,24.543,3.068,21.1276
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1297,376.44,2318,18.473,2.311,0.4266,3.047,5.73,240,41.83,5.229,21.0515
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1297,376.27,2318,18.481,2.312,0.4266,3.047,5.72,240,41.939,5.242,21.0515
bessemer-v100-sxm2-32-slurm-3509799.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1297,376.22,2318,18.484,2.312,0.4266,3.047,5.72,240,41.907,5.238,21.0515
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,204.99,2318,33.922,4.244,0.4262,3.0481,3.33,240,72.071,9.009,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,204.18,2318,34.058,4.261,0.4262,3.0481,3.27,240,73.228,9.153,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,203.91,2318,34.103,4.267,0.4262,3.0481,3.26,240,73.498,9.187,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1295,198.96,2318,34.951,4.373,0.4263,3.0466,3.30,240,72.573,9.072,21.0444
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1295,198.48,2318,35.036,4.383,0.4263,3.0466,3.29,240,72.892,9.112,21.0444
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1295,198.59,2318,35.016,4.381,0.4263,3.0466,3.28,240,72.992,9.124,21.0444
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1302,182.53,2318,38.097,4.766,0.4262,3.0495,3.01,240,79.709,9.964,21.1048
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1302,181.58,2318,38.295,4.791,0.4262,3.0495,2.95,240,81.284,10.161,21.1048
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1302,181.13,2318,38.392,4.803,0.4262,3.0495,2.96,240,81.005,10.126,21.1048
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1306,172.98,2318,40.2,5.029,0.4261,3.048,2.89,240,82.981,10.373,21.0739
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1306,172.40,2318,40.336,5.046,0.4261,3.048,2.89,240,82.96,10.37,21.0739
stanage-h100-pcie-slurm-2273645.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1306,172.64,2318,40.278,5.039,0.4261,3.048,2.90,240,82.538,10.317,21.0739
bede-gh200-slurm-792563.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,114.19,2318,60.898,7.619,0.4262,3.0486,2.07,240,115.855,14.482,21.0849
bede-gh200-slurm-792563.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,114.18,2318,60.901,7.619,0.4262,3.0486,1.96,240,121.833,15.229,21.0849
bede-gh200-slurm-792563.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,114.26,2318,60.858,7.614,0.4262,3.0486,1.96,240,122.035,15.254,21.0849
bede-gh200-slurm-793672.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1305,118.85,2318,58.506,7.32,0.4262,3.0477,2.20,240,108.684,13.586,21.0678
bede-gh200-slurm-793672.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1305,115.34,2318,60.286,7.542,0.4262,3.0477,2.12,240,112.875,14.109,21.0678
bede-gh200-slurm-793672.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1305,114.54,2318,60.708,7.595,0.4262,3.0477,2.12,240,112.83,14.104,21.0678
